"line","order","stop_street","next_cross_street","landmark","shelter","sign","flag"
"Blue Line Northwest",318,"Loop 323","Cope","Car Wash",,,TRUE
"Blue Line Northwest",319,"Loop 323","Garden Valley","Family Dollar",,TRUE,
"Blue Line Northwest",320,"Loop 323","Lion Lane","John Tyler High School",TRUE,TRUE,
"Blue Line Northwest",321,"Erwin","Loop 323","Greenbrier Nursing Home",,TRUE,
"Blue Line Northwest",322,"Erwin","Willowbrook","Across from Country Club",,TRUE,
"Blue Line Northwest",323,"Erwin",,"Cross Roads Apartments",,TRUE,
"Blue Line Northwest",324,"Erwin","Lyons","Across from Save-a-lot",,TRUE,
"Blue Line Northwest",325,"Lyons","Front","Andrews Center",,TRUE,
"Blue Line Northwest",326,"Front",,"Rose Garden / Harvey Convention Center",TRUE,TRUE,
"Blue Line Northwest",327,"Front","Fenton","The Children's Place",,TRUE,
"Blue Line Northwest",328,"Front","Hill","Cotton Belt Building",,TRUE,
"Blue Line Northwest",329,"Glenwood","Shaw","Water Tower",,TRUE,
"Blue Line Northwest",330,"Glenwood","Kennedy","Across from Plyer School",,TRUE,
"Blue Line Northwest",331,"Glenwood","Robertson","Before intersection",,TRUE,
"Blue Line Northwest",332,"5th","Chilton","Before intersection",,TRUE,
"Blue Line Southwest",401,"4th","College","Bergfield Park",,TRUE,
"Blue Line Southwest",402,"Glenwood","Kennedy","Plyler School",,TRUE,
"Blue Line Southwest",403,"Vine","5th","Donut Shop",,TRUE,
"Blue Line Southwest",404,"Frankston","Mosley",,,TRUE,
"Blue Line Southwest",405,"Frankston","Walton","Fire Station",TRUE,TRUE,
"Blue Line Southwest",406,"Walton","Monroe",,,TRUE,
"Blue Line Southwest",407,"Walton","Rhinehart","Smith Temple Church",,TRUE,
"Blue Line Southwest",408,"Walton","Deprest","Across from St. Louis School",,TRUE,
"Blue Line Southwest",409,"Walton","Jersey","At intersection",,TRUE,
"Blue Line Southwest",410,"Walton","Loop 323","Southwest Pines Apartments",TRUE,TRUE,
"Blue Line Southwest",411,"Robertson","Loop 323","RTDC School",TRUE,TRUE,
"Blue Line Southwest",412,"Robertson","Bennet","Andrews Center",,TRUE,
"Blue Line Southwest",413,"Shaw","Loop 323 WSW","Hollywood Theater",,TRUE,
"Blue Line Southwest",414,"Front","Loop 323","Westwood Shopping Center",TRUE,TRUE,
"Blue Line Southwest",415,"Front","Southgate",,,,TRUE
"Blue Line Southwest",416,"Front","Lyons","Andrews Center",TRUE,TRUE,
"Blue Line Southwest",417,"Bellwood","Lyons",,,TRUE,
"Blue Line Southwest",418,"Bellwood",,"Parkview Apartments",TRUE,TRUE,
"Blue Line Southwest",419,"Bellwood","Peach","Pete School",,TRUE,
"Blue Line Southwest",420,"Houston","Confederate",,,TRUE,
"Blue Line Southwest",421,"Houston","Palace","Across from Fina Station",,TRUE,
"Blue Line Southwest",422,"Vine","Rusk","Big Blue House",,TRUE,
"Blue Line Southwest",423,"Vine","Lindsey","Gonzales Grocery",,TRUE,
"Blue Line Southwest",424,"Vine","Mockingbird","Pt Cole Park",,TRUE,
"Blue Line Southwest",425,"Glenwood","Kennedy","Plyler School",,TRUE,
"Blue Line Southwest",426,"5th","Robertson","Before intersection",,TRUE,
"Blue Line Southwest",427,"5th","Chilton","Before intersection",,TRUE,
"Green Line Northeast",501,"Donnybrook","6th",,,TRUE,
"Green Line Northeast",502,"Beckham",,"Donut Palace",,TRUE,
"Green Line Northeast",503,"Beckham","Lake","ETMC Hospital",TRUE,TRUE,
"Green Line Northeast",504,"Beckham","Dawson","Trinity Mother Francis",TRUE,TRUE,
"Green Line Northeast",505,"Beckham","Front","Dairy Queen",,TRUE,
"Green Line Northeast",506,"Beckham","Elm","Good S. Church",,TRUE,
"Green Line Northeast",507,"Beckham","Locust","Across from Mexican Meat Market",,TRUE,
"Green Line Northeast",508,"HWY 271",,"Super One Foods",,TRUE,
"Green Line Northeast",509,"HWY 271","Hillsboro","Family Dollar",,TRUE,
"Green Line Northeast",510,"HWY 271","Laurel","Fred's",,TRUE,
"Green Line Northeast",511,"HWY 271","MLK","Relax Inn",,TRUE,
"Green Line Northeast",512,"MLK","Haynie",,,TRUE,
"Green Line Northeast",513,"MLK","Church St",,,TRUE,
"Green Line Northeast",514,"MLK","North Spring",,,TRUE,
"Green Line Northeast",515,"Broadway","Nutbush","Rail Road Crossing",,TRUE,
"Green Line Northeast",516,"Broadway","Cedar",,,TRUE,
"Green Line Northeast",517,"Broadway","Queen","City Park",,TRUE,
"Green Line Northeast",518,"Gentry","Broadway","Health District",,TRUE,
"Green Line Northeast",519,"Gentry","Beckham","Old WIC Office",,TRUE,
"Green Line Northeast",520,"Oakwood","Spring","Tyler Transit Office",,TRUE,
"Green Line Northeast",521,"Beckham","Locust","Mexican Meat Market",,TRUE,
"Green Line Northeast",522,"Beckham","Elm","Mexican Hair Dresser",,TRUE,
"Green Line Northeast",523,"Front","Beckham","Dairy Queen",,TRUE,
"Green Line Northeast",524,"Front","Baxter","St. Paul Church",,TRUE,
"Green Line Northeast",525,"Front","Palmer","Dehaven Eye Clinic",,TRUE,
"Green Line Northeast",526,"Front","Old Henderson","Fruit Stand",,TRUE,
"Green Line Northeast",527,"Golden",,"Salvation Army Apartments",,TRUE,
"Green Line Northeast",528,"Golden",,"Moore Middle School",,TRUE,
"Green Line Northeast",529,"Golden","5th",,,TRUE,
"Green Line Northeast",530,"5th","Tipton","Dewayne Restaurant",,TRUE,
"Green Line Northeast",532,"5th","Palmer","After Light at Church",,TRUE,
"Green Line Northeast",533,"5th","Baxter","TJC College",TRUE,TRUE,
"Green Line Southeast",601,"Donnybrook","6th",,,TRUE,
"Green Line Southeast",602,"5th","Fleishel","Tyler Medical Park",,TRUE,
"Green Line Southeast",603,"5th","Baxter","Weiner Land",,TRUE,
"Green Line Southeast",604,"5th","Mahon","Community Access",,TRUE,
"Green Line Southeast",605,"5th","Tipton","The Medicine Shop",,TRUE,
"Green Line Southeast",606,"5th","Golden","Park Place Nurse",,TRUE,
"Green Line Southeast",607,"5th","Loop 323","Dairy Queen",,,TRUE
"Green Line Southeast",608,"Loop 323",,"What-a-burger / Kidd Jones",,TRUE,
"Green Line Southeast",609,"Loop 323",,"Swann's Furniture",,TRUE,
"Green Line Southeast",610,"Loop 323",,"Aspen Place / Fox Run Apartments",,TRUE,
"Green Line Southeast",611,"University","Telephone","Franklin Bank",,TRUE,
"Green Line Southeast",612,"University","Lazy Creek","Grace Communications School",,TRUE,
"Green Line Southeast",613,"University","UT Tyler","Sterling House",,TRUE,
"Green Line Southeast",614,"University",,"ETMC Behavior Clinic",,TRUE,
"Green Line Southeast",615,"Old Omen",,"Across from UT",TRUE,TRUE,
"Green Line Southeast",616,"Old Omen","Sandlewood","Rose Heights Church",TRUE,TRUE,
"Green Line Southeast",617,"Old Omen","Lemont","Fair Wood Church",,TRUE,
"Green Line Southeast",618,"5th","Loop 323","Taco Bell",TRUE,TRUE,
"Green Line Southeast",619,"5th","Golden","Eye Care Associates",,TRUE,
"Green Line Southeast",620,"5th","Tipton","Dwayne Restaurant",,TRUE,
"Green Line Southeast",622,"5th","Palmer","TJC Fields",,TRUE,
"Green Line Southeast",622,"5th","Baxter","TJC College",TRUE,TRUE,
"Yellow Line Southwest",701,"Old Jacksonville","Sunnybrook","Good Shepherd School",,TRUE,
"Yellow Line Southwest",702,"Old Jacksonville","Lake Placid","Past Grace Communications School",,TRUE,
"Yellow Line Southwest",703,"Old Jacksonville","Vine","Nursing Home",,TRUE,
"Yellow Line Southwest",704,"Old Jacksonville","Loop 323","Home Depot",,TRUE,
"Yellow Line Southwest",705,"Loop 323","Lindsey","Red Lobster",,TRUE,
"Yellow Line Southwest",706,"Loop 323","Kinsey","Keith Hodges Collision",,TRUE,
"Yellow Line Southwest",707,"Loop 323",,"Chuck E Cheese",,TRUE,
"Yellow Line Southwest",708,"Old Bullard","Boyd","Dental Office / Across from Mall",,TRUE,
"Yellow Line Southwest",709,"Old Bullard","Timber Wilde","Across from Sears",,TRUE,
"Yellow Line Southwest",710,"Old Bullard","Rice","Ashley Furniture",,TRUE,
"Yellow Line Southwest",711,"Old Bullard","Carriage","Rice School",,TRUE,
"Yellow Line Southwest",712,"Old Bullard","Chimney Rock","Bullard Crossing Apartments",,TRUE,
"Yellow Line Southwest",713,"Old Bullard","Old Grande","Salada main entrance",,TRUE,
"Yellow Line Southwest",714,"Old Bullard","Old Grande","Salada at Grande",,TRUE,
"Yellow Line Southwest",715,"Old Grande","Wilshire",,,TRUE,
"Yellow Line Southwest",716,"Grande","Hollytree","Hollytree Storage",,TRUE,
"Yellow Line Southwest",717,"Grande",,"Grande Hill Apartments",,TRUE,
"Yellow Line Southwest",718,"Grande","Glen Eagles","Grande Assisted Living",,TRUE,
"Yellow Line Southwest",719,"Grande","Old Jacksonville","Texas Bank and Trust",,TRUE,
"Yellow Line Southwest",720,"Old Jacksonville",,"The Woodlands",,TRUE,
"Yellow Line Southwest",721,"Old Jacksonville","Rice","Vet Office",,TRUE,
"Yellow Line Southwest",722,"Old Jacksonville",,"Before Brookshires Wildlife Museum",,TRUE,
"Yellow Line Southwest",723,"Old Jacksonville","Loop 323","Brookshire's Wildlife Museum",,TRUE,
"Yellow Line Southwest",724,"Loop 323","Republic","Fairfield Inn",,TRUE,
"Yellow Line Southwest",725,"Loop 323","Republic","Golden China Cafe / Pawn Shop",,TRUE,
"Yellow Line Southwest",726,"Loop 323",,"Sweet Sue's",,TRUE,
"Yellow Line Southwest",728,"Towne Park",,"Villea of Pineridge",,TRUE,
"Yellow Line Southwest",729,"Loop 323",,"Winser Inn",,TRUE,
"Yellow Line Southwest",730,"HWY 155","Goss","St. Louis Baptist Church",TRUE,TRUE,
"Yellow Line Southwest",731,"HWY 155","Seaton","Lone Star Storage",,TRUE,
"Yellow Line Southwest",732,"HWY 155","Luther","City of Tyler Streets",,TRUE,
"Yellow Line Southwest",733,"HWY 155","Old Noonday","Fire Station",,TRUE,
