"Roseland & 8th","Frankston & Walton","Loop 323 & Front","Bellwood & Houston","Roseland & 8th"
"6:30","6:38","6:43","6:48","6:55"
"7:40","7:49","7:56","8:02","8:15"
"9:00","9:09","9:16","9:22","9:35"
"10:20","10:29","10:36","10:42","10:55"
"11:40","11:49","11:56","12:02","12:15"
"1:00","1:09","1:16","1:22","1:35"
"2:20","2:29","2:36","2:42","2:55"
"3:40","3:49","3:56","4:02","4:15"
"5:00","5:09","5:16","5:22","5:35"
"6:15","6:23","6:28","6:33","6:38"
"7:15","7:23","7:28","7:33","7:38"
