"Roseland & 8th","5th & Loop 323","Spur 248 & Old Omen Rd","Spur 248 & U.T. Tyler","Roseland & 8th"
"6:30","6:38","6:42","6:48","6:55"
"7:40","7:48","7:52","8:00","8:15"
"9:00","9:08","9:12","9:20","9:35"
"10:20","10:28","10:32","10:40","10:55"
"11:40","11:48","11:52","12:00","12:15"
"1:00","1:08","1:12","1:20","1:35"
"2:20","2:28","2:32","2:40","2:55"
"3:40","3:48","3:52","4:00","4:15"
"5:00","5:08","5:12","5:20","5:35"
"6:15","6:22","6:28","6:40","6:44"
"7:15","7:22","7:28","7:40","7:44"
