Roseland & 8th,"6:00,6:30,7:00,7:40,8:20,9:00,9:40,10:20,11:00,11:40,12:20,13:0,13:40,14:20,15:0,15:40,16:20,17:0,17:40,18:15,18:45,19:15,19:45"
Broadway & Gentry,"6:09,6:35,7:10,7:45,8:30,9:05,9:50,10:25,11:10,11:45,12:30,13:5,13:50,14:25,15:10,15:45,16:30,17:5,17:50,18:20,18:52,19:20,19:50"
Gentry & Glenwood,"6:17,6:45,7:20,7:52,8:40,9:12,10:00,10:32,11:20,11:52,12:40,13:12,14:0,14:32,15:20,15:52,16:40,17:12,18:0,18:27,18:57,19:27,20:0"
Houston & Beckham,"6:22,6:50,7:28,8:05,8:48,9:25,10:08,10:45,11:28,12:05,12:48,13:25,14:8,14:45,15:28,16:5,16:48,17:25,18:8,18:35,19:5,19:37,20:8"
Roseland & 8th,"6:28,7:00,7:35,8:15,8:55,9:35,10:15,10:55,11:35,12:15,12:55,13:35,14:15,14:55,15:35,16:15,16:55,17:33,18:12,18:38,19:13,19:43,20:14"
